frame,people,distance_offenders,no_mask,fps
647,1,0,0,16.73
648,1,0,0,17.48
649,1,0,0,16.91
650,1,0,0,16.34
651,1,0,0,15.94
652,1,0,0,16.05
653,1,0,0,16.26
654,1,0,0,16.62
655,1,0,0,16.27
656,1,0,0,16.30
657,1,0,0,15.91
658,1,0,0,16.10
659,1,0,0,16.04
660,1,0,0,16.98
661,1,0,0,17.47
662,1,0,0,16.84
663,1,0,0,16.37
664,1,0,0,16.88
665,1,0,0,16.50
666,1,0,0,18.07
667,1,0,0,16.93
668,1,0,0,16.47
669,1,0,0,16.48
670,1,0,0,17.51
671,1,0,0,16.65
672,1,0,0,16.25
673,1,0,0,16.00
674,1,0,0,16.06
675,1,0,0,16.12
676,1,0,0,16.25
677,1,0,0,16.81
678,1,0,0,17.49
679,1,0,0,16.86
680,1,0,0,16.22
681,1,0,0,16.14
682,1,0,0,16.05
683,1,0,0,17.57
684,1,0,0,17.83
685,1,0,0,16.67
686,1,0,0,16.02
687,1,0,0,16.28
688,1,0,0,16.70
689,1,0,0,17.56
690,1,0,0,16.50
691,1,0,0,16.04
692,1,0,0,16.61
693,1,0,0,17.75
694,1,0,0,16.92
695,1,0,0,16.17
696,1,0,0,16.77
697,1,0,0,17.48
698,1,0,0,16.50
699,1,0,0,16.50
700,1,0,0,17.45
701,1,0,0,16.90
702,1,0,0,16.08
703,1,0,0,16.02
704,1,0,0,17.73
705,1,0,0,17.33
706,1,0,0,16.62
707,1,0,0,16.15
708,1,0,0,15.19
709,1,0,0,15.56
710,1,0,0,15.65
711,1,0,0,15.52
712,1,0,0,15.15
713,1,0,0,11.85
714,1,0,0,13.33
715,1,0,0,16.05
716,1,0,0,17.36
717,1,0,0,16.16
718,1,0,0,17.46
719,1,0,0,16.88
720,1,0,0,17.41
721,1,0,0,16.69
722,1,0,0,15.84
723,1,0,0,15.84
724,1,0,0,14.65
725,1,0,0,14.61
726,1,0,0,16.11
727,1,0,0,14.37
728,1,0,0,15.09
729,1,0,0,10.36
730,1,0,0,14.47
731,1,0,0,15.90
732,1,0,0,15.04
733,1,0,0,15.21
734,1,0,0,15.20
735,1,0,0,14.51
736,1,0,0,15.87
737,0,0,0,16.95
738,0,0,0,16.03
739,0,0,0,17.81
740,0,0,0,16.46
741,0,0,0,17.44
742,0,0,0,17.08
743,0,0,0,16.28
744,0,0,0,16.35
745,0,0,0,16.53
746,0,0,0,17.02
747,0,0,0,16.68
748,0,0,0,15.80
749,0,0,0,16.29
750,0,0,0,17.36
751,0,0,0,17.13
752,0,0,0,15.59
753,0,0,0,18.21
754,0,0,0,16.44
755,0,0,0,16.97
756,0,0,0,16.52
757,0,0,0,16.56
758,0,0,0,16.12
759,0,0,0,16.99
760,0,0,0,15.50
761,0,0,0,16.81
762,0,0,0,15.43
763,0,0,0,16.14
764,0,0,0,15.42
765,0,0,0,16.40
766,0,0,0,15.54
767,0,0,0,15.45
